pair_id,excel_row,gene_field,chemical,n_genes,strain_background,ko_status,ko_growth,rescue_status,rescue_growth,classification,correct,missing_genes,mapped_background,missing_background,mapped_rescue,missing_rescue
excel:105,105,YLR359W,adenine,1,Other,optimal,-1.1520067721290748e-14,optimal,0.0866734685025288,correct,True,,,,r_1639,
excel:106,106,YOR128C,adenine,1,W303,optimal,1.1932944053346464e-14,optimal,0.0866734685025288,correct,True,,,,r_1639,
excel:107,107,YKR080W,adenine,1,Other,optimal,0.0859075189938797,optimal,0.086673437800136,type_I,False,,,,r_1639,
excel:108,108,YMR217W,guanine,1,Other,optimal,-1.5349409702308994e-17,optimal,0.0862677519664973,correct,True,,,,r_1818,
excel:109,109,YKL216W,uracil,1,FL100,optimal,5.0926479580552064e-17,optimal,0.0864531154714906,correct,True,,,,r_2090,
excel:110,110,YJL130C,uracil,1,FL100,optimal,-1.289048450542219e-16,optimal,0.0,type_II,False,,,,r_2090,
excel:111,111,YEL021W,uracil,1,FL100,optimal,-1.8413657672367683e-16,optimal,0.0864531154714908,correct,True,,,,r_2090,
excel:112,112,YLR420W,uracil,1,FL100,optimal,-1.1037104986242855e-16,optimal,0.0864531154714926,correct,True,,,,r_2090,
excel:113,113,YMR300C,adenine add  thiamine,1,S288C,optimal,-1.4530919852690108e-15,optimal,0.0866734685025287,correct,True,,r_2067,,r_1639,
excel:114,114,YGL234W,adenine add  thiamine,1,W303,optimal,-5.992358186985504e-15,optimal,0.0866734685025294,correct,True,,r_2067,,r_1639,
excel:115,115,YGR061C,adenine add  thiamine,1,W303,optimal,-1.4004119132955122e-15,optimal,0.0866734685025292,correct,True,,r_2067,,r_1639,
excel:116,116,YDR408C,adenine add  thiamine,1,S288C,optimal,-5.004606837482394e-16,optimal,0.0866734685025289,correct,True,,r_2067,,r_1639,
excel:117,117,YNR033W,4-aminobenzoic acid,1,Other,optimal,1.5162048443755032e-13,optimal,0.0859082251929225,correct,True,,,,r_1604,
excel:118,118,YER026C,choline,1,Other,optimal,0.0,optimal,0.0,type_II,False,,,,r_1683,
excel:119,119,YGR157W,choline,1,X2180-1A,optimal,0.0859075189938797,optimal,0.0863330642578438,type_I,False,,,,r_1683,
excel:120,120,YKL104C,D-glucosamine,1,X2180-1A,optimal,0.0859075189938797,optimal,20.572450751580632,type_I,False,,,,r_4506,
excel:121,121,YER003C,D-mannose,1,SEY6210,optimal,-4.2582693085891284e-18,optimal,0.0916138164657255,correct,True,,,,r_1715,
excel:122,122,YGR175C,ergosterol,1,FL100,optimal,0.0,optimal,0.0885379364588037,correct,True,,,,r_1757,
excel:123,123,YPL028W,ergosterol,1,FL100,optimal,0.0848839587088406,optimal,0.0885379215405228,type_I,False,,,,r_1757,
excel:124,124,YHR007C,ergosterol,1,Other,optimal,0.0,optimal,0.088537968326765,correct,True,,,,r_1757,
excel:125,125,YGR060W,ergosterol,1,Other,optimal,0.0,optimal,0.0885379683267659,correct,True,,,,r_1757,
excel:126,126,YLR100W,ergosterol,1,Other,optimal,0.0,optimal,0.0885379683267667,correct,True,,,,r_1757,
excel:127,127,YHR072W,ergosterol,1,FL100,optimal,0.0,optimal,0.0885379364588048,correct,True,,,,r_1757,
excel:128,128,YMR220W,ergosterol,1,FL100,optimal,0.0,optimal,0.0,type_II,False,,,,r_1757,
excel:129,129,YHR190W,ergosterol,1,FL100,optimal,0.0,optimal,0.0885379364588043,correct,True,,,,r_1757,
excel:130,130,YJL101C,glutathione,1,Other,optimal,0.0859075189938797,optimal,11.352116523377164,type_I,False,,,,r_1807,
excel:131,131,YKL182W,fatty acid,1,Other,optimal,-2.8335956818220747e-17,optimal,9.27745856883223,correct,True,,,,r_1993,
excel:132,132,YPL231W,fatty acid,1,Other,optimal,-2.8335956818220747e-17,optimal,9.27745856883223,correct,True,,,,r_1993,
excel:133,133,YKL184W,putrescine,1,S288C,optimal,0.0859075189938797,optimal,0.08591081396679,type_I,False,,,,r_1548,
excel:134,134,YOL052C,spermine,1,S288C,optimal,-9.564170140760761e-13,optimal,7.587102594422526,correct,True,,,,r_2052,
excel:135,135,YLR146C,spermine,1,S288C,optimal,-9.564961829295636e-13,optimal,7.587102594422486,correct,True,,,,r_2052,
excel:136,136,YDR232W,heme,1,Other,optimal,1.669166823123896e-17,optimal,0.0,type_II,False,,,,,a_0001
excel:137,137,YDR047W,heme,1,Other,optimal,0.0,optimal,0.0,type_II,False,,,,,a_0001
excel:138,138,YGL040C,heme,1,W303,optimal,0.0,optimal,0.0,type_II,False,,,,,a_0001
excel:139,139,YDL205C,heme,1,Other,optimal,-6.876870646551149e-17,optimal,0.0,type_II,False,,,,,a_0001
excel:140,140,YOR278W,heme,1,Other,optimal,0.0859075189938797,optimal,0.0859075189938797,type_I,False,,,,,a_0001
excel:141,141,YKL184W,spermidine,1,S288C,optimal,0.0859075189938797,optimal,0.0859075189938797,type_I,False,,,,r_2051,
excel:142,142,YPR069C,spermidine,1,S288C,optimal,0.0859075189938797,optimal,0.0859075189938797,type_I,False,,,,r_2051,
excel:143,143,YKL184W,spermine,1,S288C,optimal,0.0859075189938797,optimal,7.587102594422557,type_I,False,,,,r_2052,
excel:144,144,YPR069C,spermine,1,S288C,optimal,0.0859075189938797,optimal,7.587102594422557,type_I,False,,,,r_2052,
excel:145,145,YMR208W,ergosterol add heme,1,FL100,optimal,0.0,optimal,0.0,type_II,False,,,a_0001,r_1757,
excel:146,146,YML126C,ergosterol add heme,1,FL100,optimal,0.0,optimal,0.0,type_II,False,,,a_0001,r_1757,
excel:147,147,YJL167W,ergosterol add heme,1,Other,optimal,0.0,optimal,0.0,type_II,False,,,a_0001,r_1757,
excel:148,148,YGL055W,oleicacid add tween40,1,S288C,optimal,4.218983621806879e-18,optimal,7.700879711105367,correct,True,,r_1994,,r_2189,
