pair_id,excel_row,gene_field,chemical,n_genes,strain_background,ko_status,ko_growth,rescue_status,rescue_growth,classification,correct,missing_genes,mapped_background,missing_background,mapped_rescue,missing_rescue
excel:97,97,YGR096W,thiamine(1+),1,S288C,optimal,0.08583536820220804,optimal,0.08583536820220757,type_I,False,,,,r_2067,
excel:98,98,YKL184W,pantothenic acid,1,S288C,optimal,0.08583536820220804,optimal,0.08583865764266563,type_I,False,,,,r_1548,
excel:99,99,YOL052C,pantothenic acid,1,S288C,optimal,3.641541587408152e-44,optimal,0.08583865700513428,correct,True,,,,r_1548,
excel:100,100,YPR069C,pantothenic acid,1,S288C,optimal,0.08583536820220804,optimal,0.08583865764266563,type_I,False,,,,r_1548,
excel:101,101,YGR267C,5-formyltetrahydrofolic acid,1,W303,optimal,-8.225141297621008e-28,optimal,0.08583746694632259,correct,True,,,,r_1625,
excel:102,102,YMR113W,5-formyltetrahydrofolic acid,1,W303,optimal,-3.9192353482489803e-13,optimal,0.08583746694632244,correct,True,,,,r_1625,
excel:103,103,YAR015W,adenine,1,W303,optimal,6.944229854689489e-15,optimal,0.08659999466329742,correct,True,,,,r_1639,
excel:104,104,YNL220W,adenine,1,Other,optimal,1.7823704532213685e-15,optimal,0.08659999466329749,correct,True,,,,r_1639,
excel:105,105,YLR359W,adenine,1,Other,optimal,7.14006067599798e-16,optimal,0.08659999466329757,correct,True,,,,r_1639,
excel:106,106,YOR128C,adenine,1,W303,optimal,0.0,optimal,0.08659999466329746,correct,True,,,,r_1639,
excel:107,107,YKR080W,adenine,1,Other,optimal,0.08583536820220804,optimal,0.08659999531218857,type_I,False,,,,r_1639,
excel:108,108,YMR217W,guanine,1,Other,optimal,-2.015645686076736e-18,optimal,0.08619496456938028,correct,True,,,,r_1818,
excel:109,109,YKL216W,uracil,1,FL100,optimal,-2.883071364318795e-31,optimal,0.08638001601580746,correct,True,,,,r_2090,
excel:110,110,YJL130C,uracil,1,FL100,optimal,1.567129821658894e-17,optimal,0.08638001472460964,correct,True,,,,r_2090,
excel:111,111,YEL021W,uracil,1,FL100,optimal,4.520019723649593e-31,optimal,0.0863800153702098,correct,True,,,,r_2090,
excel:112,112,YLR420W,uracil,1,FL100,optimal,0.0,optimal,0.08638005092667929,correct,True,,,,r_2090,
excel:113,113,YMR300C,adenine add  thiamine,1,S288C,optimal,1.1799478200229383e-15,optimal,0.08659999514996573,correct,True,,r_2067,,r_1639,
excel:114,114,YGL234W,adenine add  thiamine,1,W303,optimal,9.65153939668153e-16,optimal,0.08659999514996586,correct,True,,r_2067,,r_1639,
excel:115,115,YGR061C,adenine add  thiamine,1,W303,optimal,1.1799478200223415e-15,optimal,0.08659999514996573,correct,True,,r_2067,,r_1639,
excel:116,116,YDR408C,adenine add  thiamine,1,S288C,optimal,-1.1700163985723117e-15,optimal,0.08659999514996605,correct,True,,r_2067,,r_1639,
excel:117,117,YNR033W,4-aminobenzoic acid,1,Other,optimal,-1.0816447406523665e-12,optimal,0.08583604262540308,correct,True,,,,r_1604,
excel:118,118,YER026C,choline,1,Other,optimal,0.0,optimal,5.1274351564580855e-31,type_II,False,,,,r_1683,
excel:119,119,YGR157W,choline,1,X2180-1A,optimal,-3.8449111348294966e-17,optimal,0.08626019658007066,correct,True,,,,r_1683,
excel:120,120,YKL104C,D-glucosamine,1,X2180-1A,optimal,0.0,optimal,20.545319750566293,correct,True,,,,r_4506,
excel:121,121,YER003C,D-mannose,1,SEY6210,optimal,-1.246537559341915e-18,optimal,0.0915317320808016,correct,True,,,,r_1715,
excel:122,122,YGR175C,ergosterol,1,FL100,optimal,1.1426462041478264e-31,optimal,0.0884613323939424,correct,True,,,,r_1757,
excel:123,123,YPL028W,ergosterol,1,FL100,optimal,4.959231934455267e-32,optimal,0.08846131401684933,correct,True,,,,r_1757,
excel:124,124,YHR007C,ergosterol,1,Other,optimal,1.1426462041478264e-31,optimal,0.08846133239394198,correct,True,,,,r_1757,
excel:125,125,YGR060W,ergosterol,1,Other,optimal,-4.441180078284647e-18,optimal,0.08846129722989551,correct,True,,,,r_1757,
excel:126,126,YLR100W,ergosterol,1,Other,optimal,1.1426462041478264e-31,optimal,0.08846131333976413,correct,True,,,,r_1757,
excel:127,127,YHR072W,ergosterol,1,FL100,optimal,1.1426462041478264e-31,optimal,0.08846133239394216,correct,True,,,,r_1757,
excel:128,128,YMR220W,ergosterol,1,FL100,optimal,1.2687087955458356e-18,optimal,0.0,type_II,False,,,,r_1757,
excel:129,129,YHR190W,ergosterol,1,FL100,optimal,0.0,optimal,0.08846133188612904,correct,True,,,,r_1757,
excel:130,130,YJL101C,glutathione,1,Other,optimal,0.0,optimal,11.34574241932073,correct,True,,,,r_1807,
excel:131,131,YKL182W,fatty acid,1,Other,optimal,0.0,optimal,9.265425080077694,correct,True,,,,r_1993,
excel:132,132,YPL231W,fatty acid,1,Other,optimal,0.0,optimal,9.265425080077694,correct,True,,,,r_1993,
excel:133,133,YKL184W,putrescine,1,S288C,optimal,0.08583536820220804,optimal,0.08583865764266563,type_I,False,,,,r_1548,
excel:134,134,YOL052C,spermine,1,S288C,optimal,3.641541587408152e-44,optimal,7.005769762351627,correct,True,,,,r_2052,
excel:135,135,YLR146C,spermine,1,S288C,optimal,-1.9675482699855704e-13,optimal,7.005769762351548,correct,True,,,,r_2052,
excel:136,136,YDR232W,heme,1,Other,optimal,0.0,optimal,0.08583541907715717,correct,True,,,,r_temp1,
excel:137,137,YDR047W,heme,1,Other,optimal,0.0,optimal,0.08583541716470683,correct,True,,,,r_temp1,
excel:138,138,YGL040C,heme,1,W303,optimal,0.0,optimal,0.08583541716470576,correct,True,,,,r_temp1,
excel:139,139,YDL205C,heme,1,Other,optimal,0.0,optimal,0.08583545027212022,correct,True,,,,r_temp1,
excel:140,140,YOR278W,heme,1,Other,optimal,0.0,optimal,0.08583545027211983,correct,True,,,,r_temp1,
excel:141,141,YKL184W,spermidine,1,S288C,optimal,0.08583536820220804,optimal,0.08583536820220757,type_I,False,,,,r_2051,
excel:142,142,YPR069C,spermidine,1,S288C,optimal,0.08583536820220804,optimal,0.08583536820220757,type_I,False,,,,r_2051,
excel:143,143,YKL184W,spermine,1,S288C,optimal,0.08583536820220804,optimal,7.005769762351635,type_I,False,,,,r_2052,
excel:144,144,YPR069C,spermine,1,S288C,optimal,0.08583536820220804,optimal,7.005769762351635,type_I,False,,,,r_2052,
excel:145,145,YMR208W,ergosterol add heme,1,FL100,optimal,3.944407105353156e-32,optimal,0.08846138876664614,correct,True,,r_temp1,,r_1757,
excel:146,146,YML126C,ergosterol add heme,1,FL100,optimal,0.0,optimal,0.08846135360255412,correct,True,,r_temp1,,r_1757,
excel:147,147,YJL167W,ergosterol add heme,1,Other,optimal,-3.232225628773888e-30,optimal,0.0884613536025554,correct,True,,r_temp1,,r_1757,
excel:148,148,YGL055W,oleicacid add tween40,1,S288C,optimal,2.6174151707282906e-64,optimal,7.689526898284259,correct,True,,r_1994,,r_2189,
