pair_id,excel_row_original,gene_field_original,chemical_original,n_genes_original,strain_background_original,ko_status_original,ko_growth_original,rescue_status_original,rescue_growth_original,classification_original,correct_original,missing_genes_original,mapped_background_original,missing_background_original,mapped_rescue_original,missing_rescue_original,excel_row_curated,gene_field_curated,chemical_curated,n_genes_curated,strain_background_curated,ko_status_curated,ko_growth_curated,rescue_status_curated,rescue_growth_curated,classification_curated,correct_curated,missing_genes_curated,mapped_background_curated,missing_background_curated,mapped_rescue_curated,missing_rescue_curated,change
excel:70,70,YJR139C,"methionine, threonine",1,Other,optimal,1.387618832558423e-16,optimal,3.617341334400733e-26,type_II,False,,,,r_1902+r_1911,,70,YJR139C,"methionine, threonine",1,Other,optimal,0.0,optimal,9.952693935376878,correct,True,,,,r_1902+r_1911,,fixed
excel:71,71,YOR236W,"adenine, histidine, methionine add folinic acid",1,Other,optimal,1.6436568745556421e-16,optimal,0.0,type_II,False,,r_1625,,r_1639+r_1893+r_1902,,71,YOR236W,"adenine, histidine, methionine add folinic acid",1,Other,optimal,-6.497035952055699e-30,optimal,0.0,type_II,False,,r_1625,,r_1639+r_1893+r_1902,,unchanged
excel:72,72,YPR074C and YBR117C,aromatic amino acid add folinic acid,2,W303,optimal,-1.0295878664982338e-15,optimal,7.841468120855363,correct,True,,r_1625,,r_1913+r_1903+r_1912,,72,YPR074C and YBR117C,aromatic amino acid add folinic acid,2,W303,optimal,6.940313361459958e-19,optimal,7.827482956126616,correct,True,,r_1625,,r_1913+r_1903+r_1912,,unchanged
excel:73,73,YDL131W and YDL182W,lysine,2,Other,optimal,-7.982024062320433e-17,optimal,0.0892787232111077,correct,True,,,,r_1900,,73,YDL131W and YDL182W,lysine,2,Other,optimal,2.2283062890891144e-31,optimal,0.08920076812474186,correct,True,,,,r_1900,,unchanged
excel:74,74,YNL104C and YOR108W,leucine,2,S288C,optimal,6.991115886395086e-17,optimal,0.1615423347488552,correct,True,,,,r_1899,,74,YNL104C and YOR108W,leucine,2,S288C,optimal,5.4598211315077164e-18,optimal,0.16152100724634672,correct,True,,,,r_1899,,unchanged
excel:75,75,YDR196C,pantothenate,1,W303,optimal,-9.56525269140718e-13,optimal,0.0,type_II,False,,,,r_1548,,75,YDR196C,pantothenate,1,W303,optimal,2.5164755142218448e-31,optimal,7.32829890436414e-19,type_II,False,,,,r_1548,,unchanged
excel:76,76,YBR176W,pantothenate,1,S288C,optimal,-4.0581309585042e-12,optimal,0.0859108439716179,correct,True,,,,r_1548,,76,YBR176W,pantothenate,1,S288C,optimal,6.039234185180699e-31,optimal,0.0858386570051341,correct,True,,,,r_1548,,unchanged
excel:77,77,YIL145C,pantothenate,1,Other,optimal,-3.767707157404894e-13,optimal,0.0859108439716187,correct,True,,,,r_1548,,77,YIL145C,pantothenate,1,Other,optimal,8.918535053217786e-33,optimal,0.08583865748328233,correct,True,,,,r_1548,,unchanged
excel:78,78,YMR170C,pantothenic acid,1,S288C,optimal,0.0859075189938797,optimal,0.08591081396679,type_I,False,,,,r_1548,,78,YMR170C,pantothenic acid,1,S288C,optimal,8.04773202193767e-14,optimal,0.0858386570051336,correct,True,,,,r_1548,,fixed
excel:79,79,YBR176W,pantothenic acid,1,S288C,optimal,-4.0581309585042e-12,optimal,0.0859108439716179,correct,True,,,,r_1548,,79,YBR176W,pantothenic acid,1,S288C,optimal,6.039234185180699e-31,optimal,0.0858386570051341,correct,True,,,,r_1548,,unchanged
